Source,Target
dbo.aspnet_personalizationallusers_setpagesettings,dbo.aspnet_paths_createpath
dbo.aspnet_personalizationallusers_setpagesettings,dbo.aspnet_applications_createapplication
dbo.aspnet_personalizationperuser_getpagesettings,dbo.aspnet_personalization_getapplicationid
dbo.aspnet_personalizationperuser_resetpagesettings,dbo.aspnet_personalization_getapplicationid
dbo.aspnet_personalizationperuser_setpagesettings,dbo.aspnet_paths_createpath
dbo.aspnet_personalizationperuser_setpagesettings,dbo.aspnet_applications_createapplication
dbo.aspnet_profile_setproperties,dbo.aspnet_applications_createapplication
dbo.aspnet_roles_createrole,dbo.aspnet_applications_createapplication
dbo.usp_spaceusedanalyzer,dbo.usp_spaceusedanalyzer
gas.usp_processcommonelectronicgasunknownexchangedatabycursor,gas.usp_processcommonelectronicgasunknownexchangecode
nationalgridwest.usp_legacydata_main_processlegacynationalgriddata,nationalgridwest.usp_legacydata_main_processlegacynationalgriddata
nationalgridwest.usp_legacydata_processaccountcancellationspanned,nationalgridwest.usp_legacydata_parsespannedaccountcancellationinfo
nationalgridwest.usp_legacydata_processaccountspanned,nationalgridwest.usp_legacydata_parsespannedaccountinfo
nationalgridwest.usp_legacydata_processmetercancellationspanned,nationalgridwest.usp_legacydata_parsespannedmetercancellationinfo
nationalgridwest.usp_legacydata_processmeterspanned,nationalgridwest.usp_legacydata_parsespannedmeterinfo
nationalgridwest.usp_legacydata_processmeterunspanned,nationalgridwest.usp_legacydata_parsesplitbillingandmeterresets
nypa.usp_processexchangeinfo,nypa.usp_processexchangecode_ax
nypa.usp_processnypatransformuploadeddata,nypa.usp_processnypaaddreactivepowerdata
nypa.usp_processnypatransformuploadeddata,nypa.usp_processnypatransformencoredata
published.usp_afterpublishingdashboardandreporttablesrefresh,billing.usp_load_estimatedactualcounts
published.usp_agency_overview,audit.usp_addreportusagelog
published.usp_createpublishedtablesfromviewsforcurrentbillingperiod,published.usp_createaccountlevelsummarybydollarsbtusco2andenergytype
published.usp_createpublishedtablesfromviewsforcurrentbillingperiod,published.usp_create_energyusagesummarygroupbyagencyandenergytype
published.usp_facility_overview,audit.usp_addreportusagelog
published.usp_globalsearch,audit.usp_addreportusagelog
report.customreportexport,audit.usp_addreportusagelog
report.usp_accountinformationbyaccountnumber,audit.usp_addreportusagelog
report.usp_accountlevelbillinghistory,audit.usp_addreportusagelog
report.usp_accountlistfortariffreportexport,audit.usp_addreportusagelog
report.usp_activeaccountsbyagency,audit.usp_addreportusagelog
report.usp_activeaccountsbyagency_upgrade,audit.usp_addreportusagelog
report.usp_activeenergyaccountmeterlist,audit.usp_addreportusagelog
report.usp_agencyleveladjustmentsbybillingperiod,audit.usp_addreportusagelog
report.usp_dataexport_accountadjustment,audit.usp_addreportusagelog
report.usp_dataexport_accountreviewforclosure,audit.usp_addreportusagelog
report.usp_dataexport_accountwithestimatedreading,audit.usp_addreportusagelog
report.usp_dataexport_accountwithloadfactorlargerthanone,audit.usp_addreportusagelog
report.usp_dataexport_activeaccountmeterlist,audit.usp_addreportusagelog
report.usp_dataexport_manualbillingcredittransfer,audit.usp_addreportusagelog
report.usp_dataexport_tariffchangetracking,audit.usp_addreportusagelog
report.usp_getallfacilitieslinkedtoaproperty,audit.usp_addreportusagelog
report.usp_getallpropertieslinkedtoafacility,audit.usp_addreportusagelog
report.usp_getheatingcoolingdegreedays_updated,audit.usp_addreportusagelog
report.usp_getmonthlyagencyfacilitydata,audit.usp_addreportusagelog
report.usp_getmonthlyagencyfacilitydatafor12months,audit.usp_addreportusagelog
report.usp_getmonthlyfacilitydatabysubtype,audit.usp_addreportusagelog
report.usp_heatingcoolingdegreedays_export,audit.usp_addreportusagelog
report.usp_loadfactor_getaccountloadfactorinformation,audit.usp_addreportusagelog
report.usp_loadfactor_getaccountloadfactorinformation_upgrade,audit.usp_addreportusagelog
report.usp_loadfactor_getaccountloadfactorinformationexport,audit.usp_addreportusagelog
report.usp_loadfactor_getallaccountloadfactorinformation,audit.usp_addreportusagelog
report.usp_lookup_accountinformation,audit.usp_addreportusagelog
report.usp_lookup_accountinformation_upgrade,audit.usp_addreportusagelog
report.usp_lookup_facilityinformation,audit.usp_addreportusagelog
report.usp_lookup_getaccountdetailfortariffreport,audit.usp_addreportusagelog
report.usp_lookup_getaccountdetailfortariffreport_updated,audit.usp_addreportusagelog
report.usp_lookup_getaccountlistfortariffreport,audit.usp_addreportusagelog
report.usp_lookup_getaccountlistfortariffreport_updated,audit.usp_addreportusagelog
report.usp_lookupagencyandfacilityinformation,audit.usp_addreportusagelog
report.usp_lookupagencyandfacilityinformation_updated,audit.usp_addreportusagelog
report.usp_monthlyagencydatabyenergytype,audit.usp_addreportusagelog
report.usp_monthlyagencydatabyenergytype_export,audit.usp_addreportusagelog
report.usp_nypa_actualandminimumdemandbilling,audit.usp_addreportusagelog
report.usp_published_accountandmeterlisting,audit.usp_addreportusagelog
report.usp_published_accountandmeterlisting_excelexport,audit.usp_addreportusagelog
report.usp_published_accountandmeterlisting_upgrade,audit.usp_addreportusagelog
report.usp_published_accountsbyutilitycompanyandserviceclass,audit.usp_addreportusagelog
report.usp_published_activeaccountsnotbilledreport,audit.usp_addreportusagelog
report.usp_published_activeaccountswithnoactivemeters,audit.usp_addreportusagelog
report.usp_published_agencyexceldata,audit.usp_addreportusagelog
report.usp_published_closedaccountsbilledreport,audit.usp_addreportusagelog
report.usp_published_corereportcitywide,audit.usp_addreportusagelog
report.usp_published_corereportreportaccountlevel,audit.usp_addreportusagelog
report.usp_published_corereportreportaccountlevelsubreport,audit.usp_addreportusagelog
report.usp_published_corereportreportagencylevel,audit.usp_addreportusagelog
report.usp_published_currentperiodaccountmeterchanges,audit.usp_addreportusagelog
report.usp_published_energychangereportallfacilities,audit.usp_addreportusagelog
report.usp_published_energychangereportdataexport,audit.usp_addreportusagelog
report.usp_published_energychangereportexcelexport,audit.usp_addreportusagelog
report.usp_published_energycomparisondashboardreport_updated,audit.usp_addreportusagelog
report.usp_published_energycomparisonreportagencylevel_updated,audit.usp_addreportusagelog
report.usp_published_energycomparisonreportcitywide,audit.usp_addreportusagelog
report.usp_published_energycomparisonreportcitywide_updated,audit.usp_addreportusagelog
report.usp_published_energydeviationreport,audit.usp_addreportusagelog
report.usp_published_energyparametersforcustomperiod,audit.usp_addreportusagelog
report.usp_published_energyparametersforcustomperiod_updated,audit.usp_addreportusagelog
report.usp_published_estimatedmeterreadings,audit.usp_addreportusagelog
report.usp_published_estimatedmeterreadings_upgrade,audit.usp_addreportusagelog
report.usp_published_facilityexceldata,audit.usp_addreportusagelog
report.usp_published_facilityexceldata_upgrade,audit.usp_addreportusagelog
report.usp_published_getaccountextentedbillinginformationbyagencycode,audit.usp_addreportusagelog
report.usp_published_getaccountextentedbillinginformationbyagencycode_added_zecscharges,audit.usp_addreportusagelog
report.usp_published_getaccountextentedbillinginformationbyagencycode_updated,audit.usp_addreportusagelog
report.usp_published_getaccountinformationbyagencycode,audit.usp_addreportusagelog
report.usp_published_getmeterbillinghistoryinformation_excelexport,audit.usp_addreportusagelog
report.usp_published_getmeterextentedbillinginformation,audit.usp_addreportusagelog
report.usp_published_getmeterextentedbillinginformation_updated,audit.usp_addreportusagelog
report.usp_published_getmeterextentedbillinginformation_updated_backup_not_in_use,audit.usp_addreportusagelog
report.usp_published_getmonthlyagencydata,audit.usp_addreportusagelog
report.usp_published_getmonthlyagencydataonly,audit.usp_addreportusagelog
report.usp_published_getmonthlyagencydataonly_desc,audit.usp_addreportusagelog
report.usp_published_getmonthlyagencydataonly_upgrade,audit.usp_addreportusagelog
report.usp_published_getmonthlyagencyfacilitydata,audit.usp_addreportusagelog
report.usp_published_getmonthlyagencyfacilitydata12month,audit.usp_addreportusagelog
report.usp_published_getmonthlyagencyfacilitydata2,audit.usp_addreportusagelog
report.usp_published_getmonthlycitywidesummarydata,audit.usp_addreportusagelog
report.usp_published_lookuptotaldollarsbtusandrunningtotalco2byenergytype,audit.usp_addreportusagelog
report.usp_published_lookuptotaldollarsbtusandrunningtotalco2byenergytype_corerepforselfac,audit.usp_addreportusagelog
report.usp_published_lookuptotaldollarsbtusandrunningtotalco2byenergytype_upgrade,audit.usp_addreportusagelog
report.usp_published_lookuptotaldollarsbtusandrunningtotalco2byenergytypethreefiscalyears,audit.usp_addreportusagelog
report.usp_published_lookuptotaldollarsbtusandrunningtotalco2byenergytypethreefiscalyears_updated,audit.usp_addreportusagelog
report.usp_published_monthlyfacilitydata_export,audit.usp_addreportusagelog
report.usp_published_partiallookupaccountbillingallinfo,audit.usp_addreportusagelog
report.usp_published_partiallookupaccountbillingrevisedonly,audit.usp_addreportusagelog
report.usp_published_partiallookupaccountbillingrevisedonly_upgrade,audit.usp_addreportusagelog
report.usp_published_partiallookupcurrentaccount,audit.usp_addreportusagelog
report.usp_published_usageanddemanddeviationreport,audit.usp_addreportusagelog
report.usp_published_usageanddemanddeviationreportdash,audit.usp_addreportusagelog
report.usp_reportparam_getuserfacilityaccessinxml,audit.usp_addreportusagelog
scheduler.usp_archivereport,contentmanagement.usp_insertdocumentendofmonth
temporal.usp_processandinserttemporaldata,temporal.usp_insertnewperiodfrompublishedtotemporalaccountmeterlevelrawdataforcurrentperiod
temporal.usp_processandinserttemporaldata,temporal.usp_insertnewperiodfrompublishedtotemporalenergyusagesummarygroupbyagencyandenergytype
temporal.usp_processandinserttemporaldata,temporal.usp_insertnewperiodfrompublishedtotemporalforaccountlevelsummaryfordollarsbtusandco2
temporal.usp_processandinserttemporaldata,temporal.usp_insertnewperiodfrompublishedtotemporalfiscalyearpivotbyagencydollarsandusage
temporal.usp_processandinserttemporaldata,temporal.usp_insertnewperiodfrompublishedtotemporalfiscalyearpivotbyagencyandfacilitydollarsandusage
temporal.usp_processandinserttemporaldata,temporal.usp_insertnewperiodfrompublishedtotemporalfiscalyearpivotbyagencyfacilityandaccountdollarsandusage
temporal.usp_processandinserttemporaldata,temporal.usp_insertnewperiodfrompublishedtotemporalaccountlevelsummarybyagency
temporal.usp_processandinserttemporaldata,temporal.usp_insertnewperiodfrompublishedtotemporalforaccountlevelrawdataforcurrentperiod
temporal.usp_processandinserttemporaldata,temporal.usp_insertnewperiodfrompublishedtotemporalaccountlevelsummarybycitywide
temporal.usp_processandinserttemporaldata,temporal.usp_insertnewperiodfrompublishedtotemporalfiscalyearpivotbyencoremonthlypayments
temporal.usp_processandinserttemporaldata,temporal.usp_insertnewperiodfrompublishedtotemporalaccountlevelsummarybyfacility
